City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kaitangata,NZ,2021-06-06 19:20:26,-46.2817,169.8464,46.45,79,96,0.96
269,Agirish,RU,2021-06-06 19:26:32,61.9247,63.0231,46.85,51,64,6.82
270,Kalulushi,ZM,2021-06-06 19:26:32,-12.8378,28.0919,61.29,51,84,8.9
271,Lar,IN,2021-06-06 19:26:32,26.2039,83.9717,91.6,41,0,7.52
272,Mayo,US,2021-06-06 19:26:33,38.8876,-76.5119,96.75,61,8,1.99
273,Necochea,AR,2021-06-06 19:23:46,-38.5473,-58.7368,55.04,48,100,2.62
274,Ribeira Grande,PT,2021-06-06 19:21:33,38.5167,-28.7,68.4,83,40,10.36
275,Nhulunbuy,AU,2021-06-06 19:26:34,-12.2333,136.7667,75.81,83,86,6.91
276,Manuk Mangkaw,PH,2021-06-06 19:26:34,4.8,119.85,83.59,72,98,4.27
277,Pacasmayo,PE,2021-06-06 19:26:34,-7.4006,-79.5714,69.85,75,99,12.73
278,Homer,US,2021-06-06 19:26:35,59.6425,-151.5483,59.04,71,1,9.22
279,Portel,BR,2021-06-06 19:26:35,-1.9356,-50.8211,87.39,58,100,3.49
280,Gurlan,UZ,2021-06-06 19:26:35,41.8447,60.3919,82.47,20,3,8.48
281,Houma,US,2021-06-06 19:23:04,29.5958,-90.7195,77.0,71,100,13.38
282,Yar-Sale,RU,2021-06-06 19:24:11,66.8333,70.8333,36.48,74,37,11.32
283,Dingle,PH,2021-06-06 19:20:41,10.9995,122.6711,75.67,87,100,2.21
284,Nome,US,2021-06-06 19:24:31,64.5011,-165.4064,37.17,93,90,8.05
285,Buchanan,LR,2021-06-06 19:21:43,5.8808,-10.0467,80.56,84,98,4.07
286,La Ronge,CA,2021-06-06 19:24:04,55.1001,-105.2842,61.05,59,75,6.91
287,Prigen,ID,2021-06-06 19:22:52,-7.6833,112.6167,69.33,89,54,3.47
288,Lebyazhye,RU,2021-06-06 19:26:37,55.2689,66.4947,58.28,49,0,6.71
289,Cairns,AU,2021-06-06 19:26:37,-16.9167,145.7667,71.55,83,75,8.05
290,La Romana,DO,2021-06-06 19:26:38,18.4273,-68.9728,84.56,84,40,6.91
291,Prince Rupert,CA,2021-06-06 19:23:30,54.3161,-130.3201,48.29,93,90,8.05
292,Kamakhyanagar,IN,2021-06-06 19:26:38,20.9333,85.55,85.82,57,89,2.84
293,Lagoa,PT,2021-06-06 19:26:39,39.05,-27.9833,64.13,90,100,12.53
294,Ponta Do Sol,PT,2021-06-06 19:21:30,32.6667,-17.1,70.72,76,0,1.97
