City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Clyde River,CA,70.4692,-68.5914,35.83,93,90,4.61,overcast clouds
224,Port Augusta,AU,-32.5,137.7667,55.71,63,5,17.69,clear sky
225,Cranbrook,CA,49.4999,-115.7688,57.04,35,90,10.56,overcast clouds
226,Seia,PT,40.4151,-7.7086,57.7,75,2,0.85,clear sky
227,Henties Bay,NA,-22.116,14.2845,75.85,44,0,3.36,clear sky
228,San Cristobal,VE,7.7669,-72.225,73.58,98,100,2.59,overcast clouds
229,Makokou,GA,0.5738,12.8642,70.99,96,100,1.07,light rain
230,Popondetta,PG,-8.7537,148.2534,79.05,82,79,1.86,broken clouds
231,Susangerd,IR,31.5608,48.1831,91.42,12,0,11.61,clear sky
232,Victoria,HK,22.2855,114.1577,82.45,86,47,1.01,scattered clouds
233,Mayo,US,38.8876,-76.5119,93.15,58,1,12.12,clear sky
234,Anshun,CN,26.25,105.9333,63.66,74,77,2.3,broken clouds
235,Gimli,CA,50.6336,-96.9907,79.05,29,41,21.85,scattered clouds
236,Znamenskoye,RU,57.1281,73.8282,52.11,85,41,4.72,scattered clouds
237,Ankazoabo,MG,-22.2833,44.5167,61.93,73,40,9.31,scattered clouds
238,Touros,BR,-5.1989,-35.4608,76.1,86,12,12.84,few clouds
239,Soyo,AO,-6.1349,12.3689,75.51,89,26,4.0,scattered clouds
240,Sharjah,AE,25.3573,55.4033,95.16,60,0,17.63,clear sky
241,Namibe,AO,-15.1961,12.1522,74.14,50,41,9.26,scattered clouds
242,Horsham,GB,51.064,-0.3272,62.46,88,0,3.36,clear sky
243,Nyahururu,KE,0.0421,36.3673,49.06,86,62,5.95,broken clouds
244,Yar-Sale,RU,66.8333,70.8333,35.08,86,61,9.31,broken clouds
245,Kapaa,US,22.0752,-159.319,82.72,72,40,4.0,scattered clouds
246,Badulla,LK,6.9895,81.0557,69.62,76,100,3.98,overcast clouds
247,Trairi,BR,-3.2778,-39.2689,77.27,86,12,6.31,few clouds
248,Sitamau,IN,24.0167,75.35,83.62,55,35,12.97,scattered clouds
249,Broome,US,42.2506,-75.833,87.6,48,40,3.47,scattered clouds
250,Charters Towers,AU,-20.1,146.2667,64.44,73,51,12.03,broken clouds
251,Ostrovnoy,RU,68.0531,39.5131,37.96,93,7,6.53,clear sky
252,Yellowknife,CA,62.456,-114.3525,50.56,53,75,5.99,broken clouds
253,Rock Hill,US,34.9249,-81.0251,86.74,67,90,8.05,overcast clouds
254,Terrace,CA,54.5163,-128.6035,58.42,67,75,9.22,broken clouds
255,Mar Del Plata,AR,-38.0023,-57.5575,54.12,70,0,8.99,clear sky
256,Fuling,CN,29.7022,107.3919,75.16,74,99,3.0,overcast clouds
257,Genhe,CN,50.7833,121.5167,64.13,46,4,1.83,clear sky
258,Tucurui,BR,-3.7661,-49.6725,81.25,64,83,3.2,broken clouds
259,College,US,64.8569,-147.8028,70.12,46,75,18.41,broken clouds
260,Dalby,AU,-27.1833,151.2667,60.98,55,0,2.24,clear sky
261,Port Hedland,AU,-20.3167,118.5667,71.65,33,61,11.5,broken clouds
262,Ambilobe,MG,-13.2,49.05,70.2,91,80,3.09,broken clouds
263,Lebu,CL,-37.6167,-73.65,48.79,79,91,4.21,overcast clouds
264,Bosaso,SO,11.2842,49.1816,93.11,37,0,15.59,clear sky
265,Nuuk,GL,64.1835,-51.7216,43.41,93,90,9.22,light snow
266,Akonolinga,CM,3.7667,12.25,68.07,99,94,1.3,light rain
