City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
374,Kolondieba,ML,84.65,light rain,11.0882,-6.8926,Hotel Dakan
377,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
379,Porto Velho,BR,77.05,moderate rain,-8.7619,-63.9039,Hotel Central
381,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
382,Garissa,KE,75.29,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
384,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
385,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
386,Marquette,US,87.24,scattered clouds,46.5333,-87.6335,Al Quaal Lodge
392,Mitsamiouli,KM,78.55,broken clouds,-11.3847,43.2844,Foyer ADM
393,Lansing,US,89.65,scattered clouds,42.7325,-84.5555,Quality Inn University
396,Freetown,SL,80.06,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
399,Jabinyanah,TN,75.0,few clouds,35.035,10.9081,maison belmabrouk
402,Faanui,PF,80.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
405,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
406,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
407,Malartic,CA,87.91,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
